"Source:"	"/home/hal/KiCAD/Z80_computer/Z80_computer.sch"
"Date:"	"lör 30 okt 2021 17:21:31"
"Tool:"	"Eeschema 5.1.5+dfsg1-2build2"
"Component Count:"	"70"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C2"	"10nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C3"	"10uF"	"Device:CP_Small"	"Capacitor_THT:C_Radial_D6.3mm_H7.0mm_P2.50mm"	"Polarized capacitor, small symbol"	""
"C4"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C5"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C6"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C7"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C8"	"100uF"	"Device:CP"	"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm"	"Polarized capacitor"	""
"C9"	"1uF"	"Device:CP_Small"	"Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"	"Polarized capacitor, small symbol"	""
"C10"	"1uF"	"Device:CP_Small"	"Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"	"Polarized capacitor, small symbol"	""
"C11"	"1uF"	"Device:CP_Small"	"Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"	"Polarized capacitor, small symbol"	""
"C12"	"1uF"	"Device:CP_Small"	"Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"	"Polarized capacitor, small symbol"	""
"C13"	"1uF"	"Device:CP_Small"	"Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"	"Polarized capacitor, small symbol"	""
